,0
0,0.0025
1,0.025
2,0.1025
3,0.3
4,0.5525
5,0.6275
6,0.7675
7,0.7975
8,0.815
9,0.8825
10,0.88
11,0.91
12,0.9325
13,0.95
14,0.9525
15,0.9875
16,0.985
17,0.9825
18,0.9875
19,0.9875
20,0.9875
21,0.9925
22,0.9875
23,0.9975
24,0.9925
25,0.9975
26,0.995
27,0.995
28,0.995
29,1.0
30,0.9975
31,0.9975
32,1.0
33,0.9975
34,0.9975
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
